Tiktoker,influencer name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
cakelegend,¡Aliya!,1.3M,1300000,3.5M,3500000,900.6K,900600,14.6K,14600,1.1K,1100
caleb.green,Caleb Green,2.9M,2900000,3.1M,3100000,256.4K,256400,897,897,329,329
camimendes,camila mendes,2.6M,2600000,6.2M,6200000,971.2K,971200,2.8K,2800,777,777
canalzezao,Zezão,5.9M,5900000,1.9M,1900000,105K,105000,1.1K,1100,6K,6000
caocuongvu,caocuongvu,3.7M,3700000,3.4M,3400000,395.4K,395400,2.2K,2200,797,797
captain.cream,CAPTAIN CREAM,4.2M,4200000,2.8M,2800000,345.5K,345500,3.2K,3200,4.2K,4200
carebearkieran,Kieran,469.1K,469100,1.6M,1600000,354.4K,354400,1.2K,1200,2K,2000
carlcunard,Carl Cunard,3M,3000000,5M,5000000,158.3K,158300,1.3K,1300,3.1K,3100
carloandsarah,,3.7M,3700000,2.7M,2700000,240.6K,240600,886,886,2.3K,2300
carloscastroes,Carlos Castro,12M,12000000,1.6M,1600000,152.3K,152300,400,400,3.1K,3100
carloscastroes,Carlos Castro,12M,12000000,1.6M,1600000,152.3K,152300,400,400,3.1K,3100
carlosferiag,Carlos Feria,39.2M,39200000,3.3M,3300000,251.9K,251900,2.2K,2200,203,203
carolcastromx,Carol Castro,11.3M,11300000,3.1M,3100000,440.7K,440700,1.5K,1500,367,367
carolinarinconf,carolina,5.5M,5500000,5.9M,5900000,654.1K,654100,3.2K,3200,2.9K,2900
carolvillanes,Carol Villanes,5.5M,5500000,1.9M,1900000,336.4K,336400,6.6K,6600,322,322
cassholland,Cassie Holland,1.7M,1700000,2.4M,2400000,390.2K,390200,1.4K,1400,943,943
cavalo.do_rock,daniel molo oficial,154.4K,154400,1.4M,1400000,258.5K,258500,7K,7000,17.7K,17700
cbum,Chris Bumstead,2.6M,2600000,1.6M,1600000,215.8K,215800,1.1K,1100,2.7K,2700
cciinnn,CiiN,6.6M,6600000,2.6M,2600000,296.4K,296400,1.7K,1700,588,588
cdiasss_,Carol Dias,2.5M,2500000,1.9M,1900000,497.4K,497400,2.3K,2300,977,977
cecia.loaiza,Cecia Loaiza ✨,6.2M,6200000,1.9M,1900000,277.7K,277700,2K,2000,388,388
cedriklorenzen,Cedrik Lorenzen,2.5M,2500000,3M,3000000,301.1K,301100,4.3K,4300,8.1K,8100
cellat36,cellat36,8.5M,8500000,1.9M,1900000,171.4K,171400,5.4K,5400,1.6K,1600
cemresolmaz,cemre solmaz,10.3M,10300000,2.4M,2400000,164.3K,164300,6.4K,6400,1.6K,1600
cerenyaldz,Ceren Yaldız,9.3M,9300000,1.1M,1100000,97.7K,97700,7.9K,7900,1.5K,1500
cerolzera,CEROL,4.1M,4100000,1.7M,1700000,180.4K,180400,2.7K,2700,1.3K,1300
cesarpantoja.n,Cesar Pantoja,13.2M,13200000,3M,3000000,489.1K,489100,1.3K,1300,311,311
cha.momilie,Roma,1.2M,1200000,2M,2000000,282.1K,282100,2K,2000,1.1K,1100
championsleague,Champions League,14.9M,14900000,3.8M,3800000,551.9K,551900,3.4K,3400,2.3K,2300
chamrent,chamrent,2.1M,2100000,3.7M,3700000,370.9K,370900,1.7K,1700,1.3K,1300
chanelterrero,Chanel Terrero,404.7K,404700,2.3M,2300000,257K,257000,1.5K,1500,387,387
chang._.a,창하CHANGHA,22M,22000000,1.4M,1400000,286.2K,286200,3.6K,3600,1.9K,1900
charlidamelio,charli d’amelio,142M,142000000,16.4M,16400000,1.8M,1800000,27.3K,27300,9.5K,9500
charlieputh,Charlie Puth,17.2M,17200000,1.9M,1900000,234.6K,234600,2.6K,2600,772,772
charlymarieofc,CharlyMarieofc,966K,966000,1.3M,1300000,103.1K,103100,1.5K,1500,5.4K,5400
charlyokei,Charlyokei,4.1M,4100000,3.6M,3600000,343.5K,343500,824,824,1.1K,1100
chedurena,Che Durena,6.8M,6800000,2M,2000000,231.5K,231500,1.7K,1700,6.8K,6800
cheekykiddo,alex🐤,4.1M,4100000,2.2M,2200000,231.8K,231800,489,489,1.6K,1600
chicken_nugget_.0,ChickenNugget,862.7K,862700,1.6M,1600000,240.6K,240600,1.9K,1900,2.8K,2800
chiefilomeno,C  H  I  E,2.8M,2800000,2.4M,2400000,179.1K,179100,1.5K,1500,596,596
chikakiku,🖤🙆🏻‍♀️✨🧚🏻,8.5M,8500000,3.3M,3300000,247.1K,247100,2.1K,2100,679,679
chimeconem.official,Chị Mẹ & Con Em,637.6K,637600,3.9M,3900000,247K,247000,599,599,442,442
choega,BEDDY,5.5M,5500000,2.1M,2100000,348.2K,348200,4.1K,4100,2K,2000
chourouk.model_official,Chourouk_model_official,4.8M,4800000,3.4M,3400000,147.2K,147200,851,851,2.4K,2400
chris,Chris Olsen,7.7M,7700000,2.1M,2100000,353.3K,353300,897,897,895,895
chrisbrownofficial,chrisbrownofficial,6.2M,6200000,2.2M,2200000,306.6K,306600,3.6K,3600,3.6K,3600
chrisdelia,ChrisDElia,2M,2000000,1.1M,1100000,163.2K,163200,1.1K,1100,3.1K,3100
cicichania96,Cici Chania,2.7M,2700000,2.7M,2700000,188.1K,188100,2.3K,2300,1.6K,1600
cizimmektebi,Çizim Mektebi,338.1K,338100,6.1M,6100000,239.6K,239600,3.3K,3300,6.8K,6800
claragnds,Maria Clara Garcia,17.1M,17100000,1.8M,1800000,219.2K,219200,2.4K,2400,1.2K,1200
clerishwijaya,Cherish Wijaya,494.2K,494200,1.8M,1800000,129.9K,129900,2.6K,2600,3.6K,3600
clubgodzilla,Beatking,195.2K,195200,3.1M,3100000,618.6K,618600,4.6K,4600,1.7K,1700
cocielo,Júlio Cocielo,4.6M,4600000,3.6M,3600000,438.2K,438200,601,601,613,613
