S.no,Tiktoker name,Tiktok name,Subscribers,Subscribers,Views avg.,Views avg.,Likes avg.,Likes avg.,Comments avg.,Comments avg.,Shares avg.,Shares avg.
181,dobretwins,Lucas and Marcus,36.2M,36200000,4.8M,4800000,453.1K,453100,2.8K,2800,1.1K,1100
182,jacksepticeye,Jacksepticeye,4.9M,4900000,2.3M,2300000,559.8K,559800,3.8K,3800,2.7K,2700
183,franckfs,Franck Farfán FS,5.7M,5700000,4.9M,4900000,330.9K,330900,1K,1000,4.1K,4100
184,iamdtg,DTG,1.2M,1200000,2.2M,2200000,251.9K,251900,2.2K,2200,12.9K,12900
185,jihansalsabila44,Jihan Salsabila,1.6M,1600000,2.7M,2700000,366.4K,366400,3.6K,3600,4.5K,4500
186,brentrivera,Brent Rivera,44.9M,44900000,4.9M,4900000,574.4K,574400,2K,2000,813,813
187,rayandmadalyn,Ray & Madalyn,1.1M,1100000,3.6M,3600000,496.1K,496100,1.8K,1800,2.6K,2600
188,nessaabarrett,Ness,19.4M,19400000,4M,4000000,420.5K,420500,2.7K,2700,2K,2000
189,leanadeeb,Leana Deeb,10.4M,10400000,3.9M,3900000,573.5K,573500,1.3K,1300,2.1K,2100
190,just.hamilton,Just Hamilton,2.9M,2900000,2.3M,2300000,371.1K,371100,1.9K,1900,7K,7000
191,wilmah10,wilmah10,6.3K,6300,2.9M,2900000,208.2K,208200,2.7K,2700,9.9K,9900
192,official_kep1er,Kep1er,4.8M,4800000,2.7M,2700000,518.5K,518500,3.6K,3600,1.7K,1700
193,loicsuberville,Loïc Suberville,2.4M,2400000,2.4M,2400000,458.1K,458100,1.6K,1600,5.2K,5200
194,lana_mohd89,𝑳𝑨𝑵𝑨 🦋,5.7M,5700000,4.1M,4100000,293.4K,293400,3.7K,3700,2.6K,2600
195,bigtugg,Tucker Lindgren,1.3M,1300000,2M,2000000,444K,444000,3.1K,3100,5.3K,5300
196,jvke,JVKE,7.7M,7700000,3.7M,3700000,582.2K,582200,2.1K,2100,1.3K,1300
197,bayashi.tiktok,バヤシ🥑Bayashi,33.6M,33600000,4.4M,4400000,492K,492000,2.6K,2600,786,786
198,bilalahy,Bilal,3.5M,3500000,2.2M,2200000,492K,492000,1.9K,1900,4.7K,4700
199,spicyycam_,Spice King,19.5M,19500000,4.2M,4200000,414.1K,414100,2.8K,2800,1.3K,1300
200,duythamchannel,Duy Thẩm,4M,4000000,5M,5000000,492.5K,492500,2.2K,2200,708,708
