Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
125,millennialmonroe,Mandy,112.1K,4.8M,4800000,270.4K,270400,1.6K,1600,6.4K,6400
126,whatslucasup2,Lucas Peterson BMX art,467.7K,3.6M,3600000,301.7K,301700,3.3K,3300,5.9K,5900
127,willsmith,Will Smith,73M,4.7M,4700000,514.6K,514600,2.2K,2200,2K,2000
128,marisol.viola,marisol viola,1.5M,2.4M,2400000,411.2K,411200,3K,3000,7.3K,7300
129,nicolebloomgarden,Nicole Bloomgarden,675.6K,2.3M,2300000,451.3K,451300,1.9K,1900,7.7K,7700
130,thelondoncharles,London Charles,6.9M,3.3M,3300000,598.9K,598900,3.5K,3500,1.5K,1500
131,jimmydarts,Jimmy Darts,9.8M,4.3M,4300000,607.7K,607700,2.9K,2900,894,894
132,antourny,Antony Santos,2.6M,4.8M,4800000,527.4K,527400,3K,3000,788,788
133,thallyssonsb,Thallysson Borges,11.6M,2.7M,2700000,372K,372000,3.7K,3700,5.7K,5700
134,itsblasphemus,🗣📱itsblasphemus,994.5K,3.1M,3100000,383K,383000,2.4K,2400,5.6K,5600
135,yerimuaa,Yeri MUA,5.3M,7.3M,7300000,645.7K,645700,1.4K,1400,485,485
136,raredoodle,rare doodle,2.1M,3.1M,3100000,425K,425000,3.1K,3100,3.9K,3900
137,hf37777,༊෴نجٍمـ الُثـرٍيَاء〄࿐,801.5K,1.3M,1300000,85.2K,85200,4.3K,4300,80.4K,80400
138,brentrivera,Brent Rivera,45.8M,4.6M,4600000,557.4K,557400,2.3K,2300,1.2K,1200
139,tifannylm,⚡️TEF,9.3M,5.8M,5800000,709K,709000,972,972,1.2K,1200
140,alexisomman,Alexis Omman,11.5M,2.7M,2700000,403.7K,403700,6.5K,6500,1.6K,1600
141,theofficecurrently,The Office Currently,308K,2.2M,2200000,172.1K,172100,1.3K,1300,22.4K,22400
142,keniaos,KeniaOs,16.6M,3.2M,3200000,515K,515000,3.3K,3300,2K,2000
143,ali.klose11,علي كلوزه,2.4M,3.4M,3400000,357.5K,357500,5.1K,5100,2K,2000
144,alexwaarren,Alex warren,15.6M,5.2M,5200000,854.6K,854600,1K,1000,902,902
145,bilalahy,Bilal,4.2M,3.2M,3200000,497.7K,497700,2.2K,2200,3.1K,3100
146,ferchugimenez,Fernanda,8.2M,4.7M,4700000,825.8K,825800,1K,1000,1.2K,1200
147,the.sign.guy,Austin Mollno,7.2M,4.6M,4600000,660.7K,660700,2.1K,2100,571,571
148,therealhammytv,TheRealHammyTV,16.1M,6.4M,6400000,227.3K,227300,1.3K,1300,4.4K,4400
149,bu3qeel,abu aqeel 🙆🏻‍♀️,1.2M,4.1M,4100000,217.2K,217200,3.9K,3900,5.3K,5300
150,attahalilintar,Atta Halilintar,13.3M,5.2M,5200000,448K,448000,1.9K,1900,1.5K,1500
151,thekapelariz,The Kapelari Family,2.5M,2.8M,2800000,253K,253000,4.6K,4600,6.7K,6700
152,zusjeofficial,ZUSJE,8.3M,6.1M,6100000,334.6K,334600,2.7K,2700,1.2K,1200
