Tiktoker name,Tiktok name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
matsu_kusarine,ラブマツ (LOVEMATSU),563.9K,563900,2.9M,2900000,186.4K,186400,1.8K,1800,1K,1000
beinsports,beINSPORTS,1.2M,1200000,1.7M,1700000,213.8K,213800,2.2K,2200,1.9K,1900
_mister_z,Marco Zedda,4.5M,4500000,1.6M,1600000,272.2K,272200,2.4K,2400,995,995
.shuberrr,максончиq,5.8K,5800,2M,2000000,152.7K,152700,2.1K,2100,2.8K,2800
maharanikemala,maharanikemala,3.2M,3200000,2.5M,2500000,156.2K,156200,1.8K,1800,2K,2000
analisseworld,Analisseworld,9.9M,9900000,2.1M,2100000,328.9K,328900,967,967,1.2K,1200
jairsanchezzz,Jair Sanchez,6.2M,6200000,1.3M,1300000,226.9K,226900,1.8K,1800,3.5K,3500
machikayt,MachikaYT,12M,12000000,1.9M,1900000,291.1K,291100,2.2K,2200,558,558
michaelrendyw,Michael Rendy W,4.6M,4600000,3.9M,3900000,293.6K,293600,740,740,558,558
dobretwins,Lucas and Marcus,35.2M,35200000,1.8M,1800000,221.4K,221400,3.3K,3300,498,498
swagboyq,SwagBoyQ on IG,23.4M,23400000,3M,3000000,216.6K,216600,1.4K,1400,858,858
xoomid,Xoomid,8.2K,8200,1.1M,1100000,135.3K,135300,4.2K,4200,5.7K,5700
_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4.8M,4800000,2.5M,2500000,209.1K,209100,1.4K,1400,1.4K,1400
davidgalvanv,David Galván,3.9M,3900000,2.6M,2600000,244.2K,244200,1.5K,1500,807,807
usernamepuntaktahu,CEO OF SEKOLAH,587.7K,587700,2.2M,2200000,293.3K,293300,1.7K,1700,595,595
primkung007,PRIMKUNG,2.1M,2100000,1.4M,1400000,259.9K,259900,3.5K,3500,575,575
isabelgiannuzzi,Isabel,1.1M,1100000,3.5M,3500000,298.1K,298100,1.2K,1200,187,187
baileyspinn,bailey,11.1M,11100000,2.3M,2300000,296.1K,296100,2K,2000,137,137
summerwalker,Summer Walker,1.6M,1600000,1.1M,1100000,199.2K,199200,3.3K,3300,3.3K,3300
huynh_quang_6767,Huỳnh Quang - Bảo Ngọc,457.6K,457600,2.1M,2100000,185.6K,185600,3.4K,3400,337,337
bs_fo4eek,Fo4eek,36.9K,36900,1.9M,1900000,158.8K,158800,2.6K,2600,2.1K,2100
carloandsarah,,3.3M,3300000,2.4M,2400000,188.4K,188400,1.2K,1200,1.9K,1900
nadaakkhaledd,Nada khaled,2.7M,2700000,2.1M,2100000,275.9K,275900,1.3K,1300,1.1K,1100
ups,UPS,92.6K,92600,1.2M,1200000,136.7K,136700,2.2K,2200,6.3K,6300
ninja,Ninja,8.3M,8300000,2.3M,2300000,216.2K,216200,1.6K,1600,1.4K,1400
attahalilintar,Atta Halilintar,10.1M,10100000,2.6M,2600000,288.9K,288900,1.3K,1300,661,661
nam.per,Nam Per,1.6M,1600000,2.5M,2500000,225K,225000,1.5K,1500,987,987
leal_stephany,Stephany Leal,13.1M,13100000,1.7M,1700000,351.2K,351200,738,738,1.6K,1600
lucaslopezvilet,Lucas Lopez,2.4M,2400000,1.3M,1300000,191.4K,191400,1.3K,1300,4.5K,4500
vlad.hoshin,HOSHIN,11.4M,11400000,1.1M,1100000,250.8K,250800,4.1K,4100,1K,1000
kauanahofem,Kau,7M,7000000,1.8M,1800000,262.9K,262900,1.8K,1800,1.2K,1200
xolyssarosexo,Lyssa,60.1K,60100,1.6M,1600000,92.6K,92600,8.7K,8700,1.1K,1100
joe.bartolozzi,Joe Bartolozzi,17.8M,17800000,1.5M,1500000,296.7K,296700,2.8K,2800,376,376
maxkhadarr,max khadar,1.3M,1300000,1.1M,1100000,197.6K,197600,3K,3000,3.4K,3400
jacksonaces,JACKSON ACES MAGIC🎩,6.2M,6200000,1.5M,1500000,93K,93000,3K,3000,6.9K,6900
ninjagirldraws,Dania,3.6M,3600000,1.7M,1700000,147.1K,147100,2K,2000,3.5K,3500
trien.13,TRIỂN CHILL,491.4K,491400,1.3M,1300000,177.1K,177100,3.9K,3900,2.1K,2100
connordewolfe,Connor DeWolfe,5.3M,5300000,1.1M,1100000,276K,276000,1.5K,1500,3K,3000
loupernaut,Lou PERNAUT,1.3M,1300000,2.4M,2400000,280.7K,280700,1.8K,1800,198,198
bxyeditss,[panyo ni irene],419.4K,419400,1.1M,1100000,202.5K,202500,2.8K,2800,3.4K,3400
totochegang,Anto,1.4M,1400000,1.4M,1400000,275.4K,275400,1.4K,1400,2.3K,2300
luciiasanese,lu,30.1K,30100,1.2M,1200000,186.9K,186900,2.7K,2700,3.6K,3600
nickandcarrie,Nick&Carrie,5.6M,5600000,1.9M,1900000,290.5K,290500,1K,1000,1.5K,1500
juanchimy,Juan Lopez,2.7M,2700000,1.4M,1400000,325.1K,325100,1.7K,1700,1.3K,1300
bene.schulz,Bene,5.7M,5700000,2M,2000000,254.6K,254600,1.6K,1600,1.1K,1100
com.amugiri2,【コムドット】あむぎり,712.3K,712300,1.3M,1300000,200.1K,200100,3.8K,3800,1.4K,1400
goldwin.reyes,GOLDWIN REYES,1.5M,1500000,2.5M,2500000,335.3K,335300,964,964,659,659
lulu_pt,Lulu,299.6K,299600,1.9M,1900000,223.9K,223900,921,921,2.2K,2200
itskingchris,KingChristian,15.3M,15300000,1.4M,1400000,258.6K,258600,2.2K,2200,1.7K,1700
fahmi.nm,Fahmi,7.6M,7600000,2.2M,2200000,237.4K,237400,1.8K,1800,748,748
farhanrn__,FARHAN,3.8M,3800000,1.7M,1700000,281.9K,281900,1.8K,1800,1K,1000
liltjay,Lil Tjay,4.4M,4400000,1.8M,1800000,221.2K,221200,2.7K,2700,775,775
vilmeijuga,VILMEI✨,8.4M,8400000,1.7M,1700000,169.2K,169200,3.5K,3500,1.1K,1100
faryanggaa,Ryann,4.4M,4400000,1.7M,1700000,272.2K,272200,1.9K,1900,1K,1000
gordeewa__13,вечно изящная,9.5M,9500000,2.6M,2600000,214.5K,214500,1.8K,1800,604,604
fadiljaidi,Fadil Jaidi,7.5M,7500000,2.5M,2500000,351.6K,351600,967,967,543,543
darianrojasc,D A R I A NR O J A S,29.4M,29400000,3.1M,3100000,445K,445000,575,575,385,385
ibaillanos,Ibai,8.9M,8900000,1.5M,1500000,260.5K,260500,1.3K,1300,2K,2000
tsezy,Tommy,4.8M,4800000,2M,2000000,253.5K,253500,1.9K,1900,735,735
linhkool1993,Linh Kool,4.5M,4500000,3.3M,3300000,330.3K,330300,954,954,256,256
rayanfahmi,Rayoon,3.2M,3200000,2.2M,2200000,192K,192000,2.1K,2100,1.1K,1100
unnecessaryinventions,unnecessaryinvention,4.6M,4600000,2.2M,2200000,194.6K,194600,2K,2000,1.1K,1100
basementgang,Basement Gang,5M,5000000,1.4M,1400000,275.2K,275200,1.4K,1400,2.1K,2100
bessan_esmail,بيسان اسماعيل - Bessan Ismail,10.1M,10100000,1.8M,1800000,132.1K,132100,4.2K,4200,1.4K,1400
com.yuma1214,【コムドット】ゆうま,812.7K,812700,1.3M,1300000,188.3K,188300,3.9K,3900,1.4K,1400
anggun_core,anggun✨,14.8M,14800000,3.6M,3600000,178K,178000,1.3K,1300,697,697
xibibrothers,Xibi Brothers,7.6M,7600000,1.8M,1800000,246.5K,246500,888,888,2K,2000
moni_lina,MoniLina,14.5M,14500000,7.7M,7700000,128.1K,128100,367,367,942,942
avani,avani,40.4M,40400000,1.8M,1800000,237.6K,237600,2.1K,2100,874,874
haijoel,Haijoel,409.5K,409500,2.8M,2800000,167.7K,167700,2.5K,2500,279,279
samanthayve,samantha eve,5.8M,5800000,1.3M,1300000,205.4K,205400,3.4K,3400,1.4K,1400
hoaa.hanassii,Đào Lê Phương Hoa,10.8M,10800000,1.6M,1600000,255.3K,255300,2.4K,2400,695,695
ryanbakery,𝙍𝙮𝙖𝙣𝘽𝙖𝙠𝙚𝙧𝙮,1.1M,1100000,1.6M,1600000,171.3K,171300,2.4K,2400,2.4K,2400
djprecise,DJ Precise,3.4M,3400000,1.7M,1700000,186.4K,186400,3.1K,3100,897,897
jeffreestar,Jeffree Star,2.2M,2200000,2.1M,2100000,208.4K,208400,2K,2000,872,872
christiandaloii_,Christiandaloii_,2.9M,2900000,1.5M,1500000,197.4K,197400,2.5K,2500,1.9K,1900
abdullah_eltourky,Eltourky 👑,6.7M,6700000,2M,2000000,235.7K,235700,1.2K,1200,1.4K,1400
oironyoliveira,Kbuloso 😈,5.9M,5900000,1.3M,1300000,87.3K,87300,490,490,10.9K,10900
lana_mohd89,𝑳𝑨𝑵𝑨 🦋,4.4M,4400000,2.1M,2100000,161.7K,161700,2.4K,2400,1.2K,1200
lyrico__,ʟʏʀɪᴄᴏ,2.9M,2900000,1.1M,1100000,105.6K,105600,1.1K,1100,10.1K,10100
beasteater,BeastEater,18M,18000000,2.7M,2700000,248.4K,248400,1.7K,1700,208,208
nick.digiovanni,nick.digiovanni,8.6M,8600000,2.1M,2100000,295.3K,295300,1.2K,1200,778,778
milosramen,Jacob🇭🇳,1.3M,1300000,2.2M,2200000,272.9K,272900,1.4K,1400,665,665
steveharvey,Steve Harvey,9.2M,9200000,1.8M,1800000,176.8K,176800,1.7K,1700,2.4K,2400
ngoanhtan1,Bạn Tấn chúa tể nỗi buồn,777.6K,777600,1.6M,1600000,153.1K,153100,2.7K,2700,2.4K,2400
gemelasabello2,gemelasabello2,13.2M,13200000,2.6M,2600000,293.2K,293200,693,693,950,950
creatorar,Arpostt,624.1K,624100,1.7M,1700000,141.3K,141300,733,733,4.4K,4400
vanrezaputra,Elaina,320.1K,320100,1.9M,1900000,163.3K,163300,2.3K,2300,1.8K,1800
bestluxurycars,Bestluxurycars,3K,3000,769.5K,769500,136.9K,136900,1.4K,1400,10.2K,10200
johaanzu,JohaanZu,3.6M,3600000,1.7M,1700000,320.2K,320200,1.6K,1600,716,716
nelyrall,NELYRALL,4.6M,4600000,1.1M,1100000,214.5K,214500,1.9K,1900,3.5K,3500
leigh_mcnasty,Leigh McClendon,2.8M,2800000,1M,1000000,157K,157000,1.3K,1300,6.1K,6100
xo4y_remont56,user4538340664186,82.9K,82900,2.7M,2700000,67.4K,67400,589,589,6K,6000
sofarsabi,SOFARSABI,5.5M,5500000,2.1M,2100000,208.4K,208400,2.2K,2200,584,584
cerolzera,CEROL,4.1M,4100000,1.7M,1700000,180.4K,180400,2.7K,2700,1.3K,1300
animalize21,animalize21🔥,10.3M,10300000,2M,2000000,248.1K,248100,1.4K,1400,1K,1000
itspierreboo,Pierre,12.5M,12500000,1.9M,1900000,278.3K,278300,1.6K,1600,753,753
lorengray,Loren Gray,54.3M,54300000,1.8M,1800000,248.4K,248400,1.5K,1500,1.2K,1200
football.tonight,football.tonight,391.5K,391500,2M,2000000,152.2K,152200,2.3K,2300,1.6K,1600
danielmidas,danielmidas,281.8K,281800,1.4M,1400000,119.1K,119100,1.6K,1600,5.5K,5500
laila_mahmoud62,ليلي محمود ♥️,3M,3000000,3.4M,3400000,204.7K,204700,772,772,931,931
quintongriggs,Q U I N T O N,6.4M,6400000,1.4M,1400000,169.8K,169800,3.3K,3300,1.7K,1700
erictro,Eric Tro,2.2M,2200000,3.7M,3700000,358.8K,358800,453,453,438,438
doongool,🔥Dongol🔥,3.1M,3100000,2.2M,2200000,255K,255000,1.1K,1100,1K,1000
madozilla,mad,5.7M,5700000,888.9K,888900,194.4K,194400,3.9K,3900,2.9K,2900
anxietycouple,Anxiety couple,10.7M,10700000,2.6M,2600000,274.9K,274900,765,765,886,886
nildachiaraviglio,NildaChiaraviglio,798.9K,798900,1.3M,1300000,117.9K,117900,723,723,7K,7000
haccon.01,𝐇𝐚̣𝐜 𝐂𝐨𝐧🦩,325.1K,325100,1.9M,1900000,157.8K,157800,3.6K,3600,314,314
fukada0318,深田えいみ,4.6M,4600000,2M,2000000,150.8K,150800,2.6K,2600,1.3K,1300
ahmedbasyoni,Ahmed Basyoni,1.2M,1200000,1.7M,1700000,125.9K,125900,2.4K,2400,3K,3000
sinadeinert,sinadeinert,5.5M,5500000,967.7K,967700,207.5K,207500,4.6K,4600,1.2K,1200
austinandlexi,⚡️Austin & Lexi 💥,3.2M,3200000,1.3M,1300000,253.3K,253300,1.5K,1500,2K,2000
jayrscottyy,Jordan Scott,2.3M,2300000,900.6K,900600,173.1K,173100,3.7K,3700,3.7K,3700
manja_faiez,Manja,593.1K,593100,1.5M,1500000,128K,128000,2.2K,2200,3.8K,3800
moontellthat,MOONTELLTHAT,13.1M,13100000,2.3M,2300000,156.9K,156900,1.7K,1700,1.6K,1600
baraa.bolat,@baraabolat,1.6M,1600000,2.3M,2300000,143.9K,143900,2.5K,2500,959,959
yurika_aruno,Danone💕,2.8M,2800000,1.3M,1300000,209.9K,209900,2.9K,2900,1.3K,1300
360tv,ARISHA ROSS,9.9M,9900000,2M,2000000,162K,162000,3K,3000,461,461
its.__yara,its._yara,749.5K,749500,1.1M,1100000,65.4K,65400,7.3K,7300,8.6K,8600
ava_love33,Ava Love,2.7M,2700000,1.5M,1500000,299.5K,299500,2.1K,2100,471,471
mohaimen.alaa,مهيمن علاء,2.9M,2900000,1.2M,1200000,190.4K,190400,3.5K,3500,1.5K,1500
officialsalicerose,Salice Rose,18.6M,18600000,1.1M,1100000,201.3K,201300,1.8K,1800,3.4K,3400
hisoyvaleria,➖V A L E R I A ➖,6.2M,6200000,2.7M,2700000,354.7K,354700,803,803,380,380
saaihalilintar,SAAIH HALILINTAR,4.3M,4300000,3M,3000000,272.4K,272400,893,893,492,492
pierson,Pierson,12.5M,12500000,2M,2000000,287K,287000,1.7K,1700,306,306
mursid241,Mursid,2.2M,2200000,2.4M,2400000,179.1K,179100,2.3K,2300,416,416
stayc_official,STAYC,1.3M,1300000,1.6M,1600000,181.1K,181100,2.9K,2900,1K,1000
liamsilk,Liam Silk,6.9M,6900000,890.6K,890600,249.6K,249600,2.6K,2600,2.5K,2500
deangerald,𝕯𝖊𝖆𝖓,382K,382000,1.3M,1300000,193.9K,193900,607,607,3.8K,3800
polya_tuti,Поля тут🔥👇,2.3M,2300000,3.1M,3100000,250.6K,250600,711,711,730,730
trevorwallace,trevor wallace,7.3M,7300000,1.5M,1500000,208.7K,208700,759,759,2.8K,2800
jarvali,Jarvis,2.2M,2200000,1.2M,1200000,251.7K,251700,2.1K,2100,1.6K,1600
gertieinar,Gerti & Megi,2.5M,2500000,4M,4000000,162.3K,162300,904,904,835,835
_angelomarasigan,Angelo,484K,484000,1.4M,1400000,206.7K,206700,2.1K,2100,1.8K,1800
lupinelakes,Lupine,81.4K,81400,1.9M,1900000,376.2K,376200,781,781,811,811
jauncydev,jonny devaney,1.5M,1500000,1.1M,1100000,172K,172000,1.3K,1300,4.6K,4600
ivoryowl,Makayla,1.1M,1100000,1.4M,1400000,238K,238000,1.8K,1800,1.5K,1500
joshrichards,Josh Richards,25.6M,25600000,2.2M,2200000,297.8K,297800,991,991,691,691
haga7_dayo,HAGA SEVEN/ No War🕊,1.7M,1700000,2.8M,2800000,120.9K,120900,914,914,2.3K,2300
itsmenicksmithy2,Nick Smithyman 😎,9.8M,9800000,1.6M,1600000,217K,217000,1.9K,1900,1.4K,1400
so_andreyy,So_Andrey,541.1K,541100,2.2M,2200000,111.8K,111800,537,537,4K,4000
la.maraaa,LA MARA,6.1M,6100000,959.7K,959700,213.9K,213900,5.1K,5100,277,277
paulorgds,paulo🌻,375.9K,375900,1.4M,1400000,224.9K,224900,1.3K,1300,2.2K,2200
murphslife,Aaron Murphy,4.7M,4700000,1.5M,1500000,173.4K,173400,1.4K,1400,2.8K,2800
okthatscreepy,OkThat’sCreepy,366.8K,366800,3.1M,3100000,144.3K,144300,1.2K,1200,1.3K,1300
dylanpage.ning,Dylan Page,2.5M,2500000,1.2M,1200000,196.9K,196900,2.8K,2800,1.9K,1900
fabiola.baglieri,𝐹𝑎𝑏𝑖𝑜𝑙𝑎,11.6M,11600000,2.4M,2400000,288.7K,288700,1.3K,1300,294,294
tnt_500,ทาจิมานะ เรียว,24.1K,24100,1.7M,1700000,236.5K,236500,1.2K,1200,1.6K,1600
rawanfahmii,rawan,3.4M,3400000,1.8M,1800000,189.7K,189700,1.7K,1700,1.5K,1500
bigcheese8581,Matt “Big Cheese”,7.6K,7600,1.3M,1300000,187.3K,187300,581,581,4K,4000
demin02_,Никита,1M,1000000,1.4M,1400000,223.4K,223400,1.9K,1900,1.6K,1600
charlyokei,Charlyy,3.7M,3700000,2.4M,2400000,300.1K,300100,914,914,583,583
pollyjaewebster,Polly-Jae,158.4K,158400,1.6M,1600000,188.8K,188800,2.2K,2200,1.4K,1400
leventgeiger,Levent Geiger,3.1M,3100000,1.2M,1200000,165.5K,165500,2.6K,2600,2.9K,2900
floofnoodles,Floofnoodles,17M,17000000,1.3M,1300000,154K,154000,1.8K,1800,3.8K,3800
stwartabdala,•  R A T O N C I T O 🧀🐁,538.8K,538800,932.6K,932600,79.2K,79200,905,905,13.6K,13600
com.yuta0305,【コムドット】ゆうた,1M,1000000,949.1K,949100,179.7K,179700,4.3K,4300,2K,2000
kxmzzzy,kxmz,370.1K,370100,2M,2000000,218.3K,218300,999,999,1.4K,1400
faulox_,faulox,6.8M,6800000,1.7M,1700000,172.4K,172400,2.7K,2700,1K,1000
yourrkayesss,kayess,4.8M,4800000,1.1M,1100000,169K,169000,3.2K,3200,2.8K,2800
oliviaalpert,Olivia Alpert,52.7K,52700,2.6M,2600000,139.1K,139100,1.9K,1900,996,996
brodywellmaker,Brody Wellmaker,20.3M,20300000,1.8M,1800000,229.8K,229800,1.3K,1300,1.3K,1300
ranierao,rani,18.1K,18100,929.9K,929900,251.6K,251600,2.6K,2600,1.9K,1900
antrobo10,Anthony,545K,545000,850.4K,850400,128.1K,128100,2.3K,2300,7.2K,7200
therealmaneskin,Måneskin,5.4M,5400000,1.1M,1100000,214K,214000,2.9K,2900,1.5K,1500
gustavomeloof,Gustavo Melo,4.6M,4600000,1.2M,1200000,86.8K,86800,1.3K,1300,8.6K,8600
samsamne0,Sam Samm,709.4K,709400,2.1M,2100000,187.7K,187700,1.8K,1800,893,893
bassant33,🔥bassantOfficial🔥,4.5M,4500000,2.7M,2700000,162.2K,162200,1.6K,1600,793,793
aichangemoy_,YT : AiChan TV,6.6M,6600000,1.7M,1700000,191.2K,191200,2.5K,2500,680,680
jaytorresss,Jay Torres,3.8M,3800000,1.8M,1800000,242.7K,242700,844,844,1.6K,1600
xvusex,T,21.1K,21100,951.6K,951600,199.1K,199100,1.3K,1300,4.1K,4100
sibenitoo,SiBenitoo,4.7M,4700000,2.2M,2200000,140K,140000,1.7K,1700,1.7K,1700
jumpersjump,Jumpers Jump Podcast,6.4M,6400000,2.1M,2100000,220.1K,220100,1.7K,1700,486,486
williesalim,WILLIE SALIM,8.3M,8300000,1.9M,1900000,148.2K,148200,2.9K,2900,713,713
itsari.aleise,Arianna Hailey,11.8M,11800000,1.7M,1700000,322.8K,322800,1.6K,1600,359,359
arilbjn,Mochamad,51.3K,51300,1.3M,1300000,221.9K,221900,955,955,2.7K,2700
camxnie,Cam & Nie,3.2M,3200000,1.4M,1400000,173.9K,173900,544,544,3.7K,3700
cristobalsoria,Cristóbal Soria,572K,572000,1.2M,1200000,120.2K,120200,4.4K,4400,2.7K,2700
japeth023,japeth023,557.9K,557900,1.5M,1500000,194.2K,194200,1.6K,1600,1.9K,1900
venao2323,YANFRY EL TIERNO🙈,4.2M,4200000,1.5M,1500000,166.6K,166600,1K,1000,3K,3000
kuki_yt,Kuki_youtube,1.8M,1800000,1.5M,1500000,315.7K,315700,1.3K,1300,774,774
ozikoy,KOY,6.9M,6900000,2.2M,2200000,186.4K,186400,1.2K,1200,1.3K,1300
swaghoe666,Tik Toker,1.4M,1400000,2.1M,2100000,306.5K,306500,1.1K,1100,501,501
robsonabreu,Robson Abreu,3.2M,3200000,1.4M,1400000,82K,82000,8.3K,8300,470,470
juliagisella,Julia Gisella,10.2M,10200000,784.4K,784400,186.9K,186900,3.1K,3100,3.7K,3700
andreslleal,Andrés Leal,2.8M,2800000,1.7M,1700000,91.6K,91600,3.7K,3700,2.9K,2900
gabryellurlan,Gabryell Urlan,6.8M,6800000,1.4M,1400000,221.9K,221900,1.2K,1200,2.1K,2100
kagramanana,kagramana,6.2M,6200000,1.2M,1200000,184.1K,184100,1K,1000,3.5K,3500
yizaroff,YIZARO,4M,4000000,1.4M,1400000,225.1K,225100,2.6K,2600,611,611
adamw,Adam W,15.7M,15700000,1.8M,1800000,179.5K,179500,1.1K,1100,1.9K,1900
xoteam,XO Team,32.1M,32100000,2.1M,2100000,222.9K,222900,1.6K,1600,481,481
saydenseay,Sayden,3.3M,3300000,938.9K,938900,257.3K,257300,1.6K,1600,2.5K,2500
justthenobodys,JustTheNobodys,7.1M,7100000,1.4M,1400000,175.8K,175800,2.2K,2200,1.8K,1800
snerixx,Sam Erix,8M,8000000,1.9M,1900000,369.2K,369200,1K,1000,361,361
valenrewah,Valent,7.5M,7500000,2.4M,2400000,272.6K,272600,929,929,605,605
cheekyboyos,the cheeky boyos,10.9M,10900000,1.8M,1800000,252.8K,252800,1.3K,1300,867,867
cokodive,cokodive,188.5K,188500,871.1K,871100,172.5K,172500,2.8K,2800,3.7K,3700
_tusya_kiskis,_Tusya_kiskis,6.7M,6700000,1.4M,1400000,161.2K,161200,1.5K,1500,2.8K,2800
danaandthewolf,danaandthewolf,187.3K,187300,2.5M,2500000,252.5K,252500,824,824,712,712
pakoyaso_,Pakoyaso,9.5M,9500000,1.8M,1800000,216.1K,216100,1.2K,1200,1.4K,1400
zhenyalavrik,Переезд в Турцию 🇹🇷,364.5K,364500,3.2M,3200000,69.4K,69400,1.8K,1800,2.6K,2600
teukuryantr,teukuryantr,3.1M,3100000,1.7M,1700000,236.8K,236800,1.3K,1300,1.1K,1100
jamescharles,James Charles,36.1M,36100000,1.7M,1700000,191.6K,191600,2.2K,2200,752,752
zhenyalavrik,Переезд в Турцию 🇹🇷,364.5K,364500,3.2M,3200000,69.4K,69400,1.8K,1800,2.6K,2600
teukuryantr,teukuryantr,3.1M,3100000,1.7M,1700000,236.8K,236800,1.3K,1300,1.1K,1100
jamescharles,James Charles,36.1M,36100000,1.7M,1700000,191.6K,191600,2.2K,2200,752,752
cardncyn,Carddd,1.5M,1500000,2.5M,2500000,271.1K,271100,791,791,623,623
mariahandbill,Mariah and Bill ღ,13.9M,13900000,2.7M,2700000,217.8K,217800,1.2K,1200,462,462
jamal.jamael,Karim Jamal,2.6M,2600000,1.4M,1400000,203.4K,203400,2.4K,2400,991,991
nastasyashinee,🇮🇩 BAGUS ISTRI 🇮🇩,4.9M,4900000,2.5M,2500000,154.5K,154500,1.6K,1600,880,880
riska_nurwidia,Riska Nur Widia,2.6M,2600000,2.5M,2500000,276.8K,276800,623,623,755,755
ermo1enko,🖤ТВОЯ ВЕЧЕРИНКА🖤,1.7M,1700000,1.7M,1700000,326.3K,326300,870,870,849,849
mackenzieziegler,Mackenzie Ziegler,22.1M,22100000,2.1M,2100000,325.5K,325500,1K,1000,380,380
yarenalaca,Yaren Alaca,5.4M,5400000,1.6M,1600000,119.2K,119200,4.6K,4600,513,513
gabrielvalland,Gabriel Valland,958.2K,958200,1.1M,1100000,257.9K,257900,1.7K,1700,1.7K,1700
judiitharias,Judith & Ángel 🙋🏻‍♀️🙋🏽‍♂️,15.7M,15700000,3.1M,3100000,302K,302000,763,763,249,249
adamrayokay,ADAMRAY,6.8M,6800000,1.9M,1900000,217.6K,217600,1.7K,1700,629,629
ethob0t,Ethobot,534.2K,534200,2.4M,2400000,203.1K,203100,1.3K,1300,668,668
soylapizito,lapizito,13.3M,13300000,2.1M,2100000,277.2K,277200,1.2K,1200,442,442
fadeewa_makeup,Фадеева🦞,760.2K,760200,1.3M,1300000,113.2K,113200,1.7K,1700,4.6K,4600
rosssmith,Ross Smith,21.8M,21800000,1.4M,1400000,263.3K,263300,814,814,1.7K,1700
bentleybuilds,Bentley Bastian,72K,72000,3.1M,3100000,77.6K,77600,826,826,3.1K,3100
edwinmendozza,𝖊𝖉𝖜𝖎𝖓,14.2M,14200000,1.8M,1800000,393.6K,393600,1K,1000,349,349
cocielo,Júlio Cocielo,4.3M,4300000,1.3M,1300000,204.6K,204600,1.5K,1500,2K,2000
riqqo_,Riqqo_,66K,66000,2.9M,2900000,170.3K,170300,1.5K,1500,361,361
lgndfrvr,LGNDFRVR,15.8M,15800000,1.9M,1900000,241.3K,241300,670,670,1.3K,1300
jajad5,jajad5,630.8K,630800,982.4K,982400,263.8K,263800,2.1K,2100,1.5K,1500
cocinaconcoqui,cocinaconcoqui,2M,2000000,1.4M,1400000,278.3K,278300,628,628,1.7K,1700
rucenuenda1,Ruce Nuenda,1.1M,1100000,1.6M,1600000,280.9K,280900,1.5K,1500,589,589
thaotaotau,Phương Thảo,5.1M,5100000,2.5M,2500000,267.9K,267900,1.2K,1200,237,237
brycehall,Bryce Hall,21.3M,21300000,2.4M,2400000,283.2K,283200,901,901,476,476
just_dt,Dt,8.9M,8900000,1.1M,1100000,198.6K,198600,1.8K,1800,2.5K,2500
seleterr,seleterr,27.1K,27100,1.5M,1500000,180.5K,180500,807,807,2.5K,2500
teamsport_philipp,Teamsport_Philipp,23.2K,23200,957.2K,957200,140.4K,140400,2.1K,2100,4.6K,4600
arananadam38,Okan Taşdemir,175.1K,175100,2M,2000000,60K,60000,967,967,6.6K,6600
mngnzls,MONA,13M,13000000,2.6M,2600000,191.1K,191100,1.5K,1500,310,310
niico_pr,миша,1.1M,1100000,1.4M,1400000,197.7K,197700,1.9K,1900,1.3K,1300
keemokazi,KEEMOKAZI,26M,26000000,2.1M,2100000,256K,256000,1.4K,1400,293,293
vivi,Vivi,10.3M,10300000,1.7M,1700000,224.7K,224700,2K,2000,412,412
german_crusader,Stardust Crusader,99K,99000,902.5K,902500,149K,149000,1.6K,1600,5.1K,5100
whitehernandez,Blanca Hernández,112.6K,112600,1.4M,1400000,229.7K,229700,1.4K,1400,1.4K,1400
shyazryne,aEiOu,86.2K,86200,2.9M,2900000,316K,316000,595,595,373,373
rozhkova.olesya,Roozhkova,850K,850000,1.5M,1500000,197.2K,197200,964,964,2.1K,2100
mosqvin_,Та самая училка❤️🔥,2.6M,2600000,1.9M,1900000,348.5K,348500,714,714,637,637
sepultacion,mari,6.4M,6400000,1.3M,1300000,301.4K,301400,1.9K,1900,404,404
kaansanity,aakaanksh,4.9M,4900000,1.1M,1100000,86.4K,86400,569,569,8.8K,8800
dizzlipin,diZzLipin,909.6K,909600,1.9M,1900000,79.9K,79900,5.5K,5500,356,356
aldomirandar,😂 Aldo Miranda 😂,8.4M,8400000,1.3M,1300000,212.7K,212700,605,605,2.7K,2700
nicolebernaal,nicolebernaal,4M,4000000,2.2M,2200000,351.3K,351300,957,957,195,195
bellaretamosa,bella,5.1M,5100000,2.5M,2500000,340.4K,340400,901,901,145,145
tunico80,🌠Antonio Tonon🌠,5.8M,5800000,1M,1000000,206.8K,206800,2K,2000,2.1K,2100
armon.warren,Armoney,1.2M,1200000,1.9M,1900000,300.8K,300800,904,904,630,630
soanhvadiephihi,Soanh x Diệp 💎,1.6M,1600000,2.6M,2600000,273.2K,273200,720,720,530,530
