Tiktoker name,Tiktok name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
jamie32bsh,Jamie Big Sorrel Hor,7.1M,7100000,5.8M,5800000,313.6K,313600,4.7K,4700,2.2K,2200
maxthemeatguy,Max The Meat Guy,3.8M,3800000,6.2M,6200000,681.9K,681900,1.7K,1700,1.2K,1200
andy.and.michelle,Andy & Michelle,3.7M,3700000,3.1M,3100000,438.1K,438100,2.8K,2800,6.1K,6100
realmsp,RealMsP,349.1K,349100,4.9M,4900000,771.9K,771900,2K,2000,1.1K,1100
gameofthrones,Game of Thrones,647.3K,647300,3M,3000000,359.5K,359500,1.9K,1900,9K,9000
ameliadimz,ameliadimz,1.3M,1300000,3.7M,3700000,529.8K,529800,4.1K,4100,1.8K,1800
chris,Chris Olsen,7.2M,7200000,6.1M,6100000,712.1K,712100,1.6K,1600,1.1K,1100
isaach.p,Isaac H.P,1.6M,1600000,2.4M,2400000,230K,230000,11K,11000,9.7K,9700
billlnai,nai,8.4M,8400000,3.1M,3100000,797.1K,797100,3.2K,3200,1.4K,1400
samseats,Sam Way,8.7M,8700000,3.6M,3600000,618.5K,618500,2.8K,2800,2.2K,2200
soysuco_ff,Suco Ismael,3.7M,3700000,3.4M,3400000,430.5K,430500,6.6K,6600,981,981
gaynadia,nadia,287.9K,287900,2.2M,2200000,583.8K,583800,4.4K,4400,4.1K,4100
thatlittlepuff,ThatLittlePuff,25M,25000000,5.1M,5100000,612.9K,612900,1.4K,1400,2.1K,2100
lachama4_ff,LA CHAMA ᴰ,8.3M,8300000,2.9M,2900000,477K,477000,7.3K,7300,693,693
envydo,envy,198.7K,198700,1.8M,1800000,476.1K,476100,9.2K,9200,3.3K,3300
k1lauea,killazz,128.2K,128200,1.8M,1800000,451.4K,451400,9.1K,9100,3.7K,3700
noreportar08,noreportar08,265.3K,265300,4M,4000000,104.9K,104900,11.1K,11100,12.9K,12900
elrodcontreras,ROD🥴,40.1M,40100000,3.3M,3300000,521K,521000,4.8K,4800,1K,1000
k1lauea,killazz,128.2K,128200,1.8M,1800000,451.4K,451400,9.1K,9100,3.7K,3700
